Epoch,Val_Accuracy,Val_Loss,Macro_F1
1,0.4021,1.6287,0.2623
2,0.4531,1.5578,0.3898
3,0.5194,1.418,0.4205
4,0.5458,1.3639,0.444
5,0.5521,1.3587,0.4685
6,0.5453,1.3639,0.442
7,0.5666,1.3127,0.4863
8,0.5695,1.3274,0.4687
9,0.5777,1.2834,0.502
10,0.5936,1.2761,0.5192
11,0.5747,1.3019,0.507
12,0.5933,1.2787,0.5198
13,0.5991,1.26,0.5293
14,0.5978,1.2527,0.5371
15,0.6024,1.258,0.529
16,0.6014,1.253,0.5458
17,0.6087,1.2382,0.5547
18,0.6062,1.242,0.5507
19,0.6126,1.249,0.5403
20,0.6094,1.2621,0.5368
21,0.6201,1.2329,0.5636
22,0.6201,1.236,0.5595
23,0.6034,1.2707,0.5527
24,0.6244,1.2156,0.5643
25,0.6208,1.2396,0.5641
26,0.6276,1.2213,0.5694
27,0.6255,1.226,0.5719
28,0.6337,1.2075,0.573
29,0.6356,1.2109,0.5844
30,0.6257,1.2174,0.5745
31,0.6388,1.199,0.5921
32,0.6381,1.1965,0.5892
33,0.6418,1.1909,0.5974
34,0.6396,1.2037,0.5855
35,0.6361,1.1998,0.591
36,0.6413,1.1877,0.5937
37,0.6362,1.1954,0.5866
38,0.6446,1.188,0.6031
39,0.6402,1.1979,0.5937
40,0.6457,1.1813,0.6008
41,0.6454,1.1849,0.6093
42,0.6474,1.1859,0.6074
43,0.6489,1.1845,0.6012
44,0.645,1.182,0.5998
45,0.6463,1.1785,0.6005
46,0.6478,1.1791,0.6054
47,0.6512,1.1821,0.6052
48,0.6509,1.1806,0.6073
49,0.6496,1.1773,0.6056
50,0.6481,1.1808,0.6047
